"University of California Davis","1 Shields Avenue, Davis, CA 95616"
"San Jose State University","1 Washington Square, San Jose, CA 95192"
"Miramar College","10440 Black Mountain Road, San Diego, CA 92126"
"Mt. San Antonio College","1100 North Grand Avenue, Walnut, CA 91789"
"Shasta College","11555 Old Oregon Trail, Redding, CA 96049"
"California Institute of Technology","1200 East California Boulevard, Pasadena, CA 91125"
"Foothill College","12345 El Monte Road, Los Altos Hills, CA 94022"
"Glendale Community College","1500 North Verdugo Road, Glendale, CA 91208"
"De Anza College","21250 Stevens Creek Blvd, Cupertino, CA 95014"
"University of California Berkley","2227 Piedmont Avenue, Berkeley, Ca 94720"
"University of California Irvine","260 Aldrich Hall, Irvine, CA 92697"
"Saddleback College","28000 Marguerite Parkway, Mission Viejo, CA 92692"
"Cerro Coso Community College","300 College Heights Boulevard, Ridgecrest, CA 93555"
"Las Positas College","3000 Campus Hill Drive, Livermore, CA 94551"
"University of Southern California","3551 Trousdale Parkway, Los Angeles, CA 90089"
"Cal Poly Pomona","3801 West Temple Avenue, Pomona, CA 91768"
"Sacramento City College","3835 Freeport Boulevard, Sacramento, CA 95822"
"University of California Los Angeles","405 Hilgard Avenue, Los Angeles, Ca 90024"
"Stanford University","450 Serra Mall, Stanford, CA 94305"
"Long Beach City College","4901 East Carson Street, Long Beach, CA 90808"
"Gavilan College","5055 Santa Teresa Boulevard, Gilroy, CA 95020"
"CSU Los Angeles","5151 State University Drive, Los Angeles, CA 90032"
"San Diego State University","5500 Campanile Drive, San Diego, CA 92182"
"College of Alameda","555 Ralph Appezzato Memorial Parkway, Alameda, CA 94501"
"Cabrillo College","6500 Soquel Drive, Aptos, CA 95003"
"San Bernardino Valley College","701 South Mount Vernon Avenue, San Bernardino, CA 92410"
"West Los Angeles College","9000 Overland Avenue, Culver City, CA 90230"
"University of California San Diego","9500 Gilman Drive, La Jolla, CA 92093"
"Monterey Peninsula College","980 Fremont Street, Monterey, CA 93940"
"Reedley College","995 North Reed Avenue, Reedley, CA 93654"
